name,host_id,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365
Charming Eastlake Townhouse ,3973228,Cascade,Eastlake,47.6405,-122.3282,Entire home/apt,135,30,2,0.03,1,0
Newly Remodeled West Seattle Studio,1304769,West Seattle,Fairmount Park,47.55583,-122.37702,Entire home/apt,59,2,219,3.39,1,89
Large house in Greenwood!,24212314,Other neighborhoods,Bitter Lake,47.71159,-122.35491,Private room,65,30,59,0.96,1,365
Green Lake/Phinney/Greenwood Nugget,17469341,Other neighborhoods,Greenwood,47.684,-122.35388999999999,Entire home/apt,99,3,81,1.27,1,268
King Bed in Hipster Seattle,5335328,Other neighborhoods,Greenwood,47.6912,-122.35276,Entire home/apt,99,30,2,0.05,1,0
Craftsman with view of Seattle ,10283735,Rainier Valley,Rainier Beach,47.51016,-122.26043999999999,Entire home/apt,149,1,123,1.9,1,315
Darling Studio on Capitol Hill,457358,Capitol Hill,Broadway,47.61602,-122.32354,Entire home/apt,88,1,71,1.12,1,113
Capitol Hill Excursion Bed Nook w/Privacy curtain,7354306,Capitol Hill,Broadway,47.62335,-122.32307,Shared room,28,30,92,1.41,5,19
Charming 5-bd Home 5' from Downtown,3475127,Central Area,Madrona,47.61383,-122.28708999999999,Entire home/apt,999,30,2,0.03,1,0
"☆Petite, Peaceful RM for 2 ☆ Simple Charm ☆",24427501,Other neighborhoods,Greenwood,47.69751,-122.34873999999999,Private room,150,30,23,1.51,1,357
Fresh mornings in Fremont,7441000,Other neighborhoods,Fremont,47.65655,-122.35726000000001,Entire home/apt,90,2,99,1.52,1,67
Light-filled Spacious Garden Studio,5525234,Lake City,Victory Heights,47.71247,-122.30706,Entire home/apt,85,30,78,1.2,1,0
Walk to Pike Place Market from a Penthouse with City Views,24526173,Downtown,First Hill,47.61215,-122.32971,Entire home/apt,269,3,265,4.1,2,141
Large cozy room,3396093,Other neighborhoods,Greenwood,47.69095,-122.34958999999999,Private room,58,30,0,,2,0
Charming and Private-AAA Location,8993600,Central Area,Harrison/Denny-Blaine,47.62543,-122.29043999999999,Entire home/apt,130,30,243,3.84,1,71
"1BD Apt near Downtown, UW, Cap Hill",6047879,Central Area,Mann,47.61027,-122.30187,Entire home/apt,85,2,207,3.33,1,357
Mtn Views 3 blocks from light rail,7740890,Beacon Hill,North Beacon Hill,47.57878,-122.30796000000001,Private room,60,1,237,3.62,1,347
Quiet Private Room with Bath.and Garden,3197009,Delridge,North Delridge,47.556259999999995,-122.36331000000001,Private room,55,2,59,1.04,2,89
Convenient Capitol Hill Studio - local living,556097,Capitol Hill,Broadway,47.61656,-122.3135,Entire home/apt,115,2,23,0.72,1,0
Modern Townhouse w/ Rooftop Deck,24693226,Capitol Hill,Broadway,47.63949,-122.32278000000001,Entire home/apt,300,30,0,,1,0
Room in Vintage Whittier Heights,19992117,Ballard,Whittier Heights,47.685790000000004,-122.3674,Private room,44,2,93,1.57,1,89
Comfy Queen Size Bed in Artists' Residence,780837,Rainier Valley,Rainier Beach,47.51465,-122.25932,Private room,54,2,49,0.81,2,0
Columbia City Urban Farm Stay,13759287,Seward Park,Seward Park,47.56543,-122.27644,Entire home/apt,74,30,199,3.19,2,0
Artists' off-Greenwood 2-bedroom family apartment,15448291,Other neighborhoods,Greenwood,47.69073,-122.35331000000001,Entire home/apt,100,30,3,0.05,1,0
Private Entrance Bed & Bath - Fremont/Wallingford,23468824,Other neighborhoods,Fremont,47.65976,-122.34641,Entire home/apt,68,2,374,5.79,1,0
Large Home in Historical Ballard,25066447,Ballard,Adams,47.67575,-122.37658,Entire home/apt,325,6,7,0.11,1,365
"Modern 2 bd apt, great neighborhood",6120181,Other neighborhoods,Wallingford,47.66937,-122.32607,Entire home/apt,119,30,163,2.51,1,116
CHILL NEAR THE BEACH,20521336,West Seattle,Seaview,47.55969,-122.40106999999999,Entire home/apt,155,30,76,1.98,1,180
Spacious SLU Apt near Amzn/F.B./G00GLE/S.Center,484596,Cascade,South Lake Union,47.62182,-122.33997,Entire home/apt,153,30,33,0.69,1,0
Stunning views from Alki Beach,21574650,West Seattle,Alki,47.57767,-122.41488000000001,Entire home/apt,335,2,12,0.22,2,0
12th Floor Mtn/Water View Condo,9707521,Downtown,Belltown,47.61606,-122.35113,Entire home/apt,133,30,1,0.02,1,111
Madrona Magic,149902,Central Area,Madrona,47.61725,-122.29513,Entire home/apt,95,31,4,0.07,1,177
"Private Garden Suite, Bay View",25417834,Queen Anne,West Queen Anne,47.64065,-122.37241000000002,Entire home/apt,99,2,232,3.73,1,179
Near UVillage/Greenlake Spacious  7,3074414,Other neighborhoods,Bryant,47.67572,-122.28915,Private room,70,30,6,0.1,49,365
Beautiful Modern Downtwn/Convention,3294357,Downtown,First Hill,47.61133,-122.3306,Entire home/apt,185,3,19,0.3,4,345
Private Suite Filled with Light and Local Art,9019531,Central Area,Minor,47.60611,-122.31531000000001,Entire home/apt,99,3,175,4.37,1,51
Cozy Private Space North Seattle Private Parking,25547379,Lake City,Victory Heights,47.708040000000004,-122.30773,Entire home/apt,71,1,454,9.31,1,261
Perfect Location: Quiet St & Shops,25616243,Other neighborhoods,Green Lake,47.67631,-122.32618000000001,Entire home/apt,97,1,307,4.84,1,73
Comforts of home -  Ideal location - Free parking,25636571,Queen Anne,Lower Queen Anne,47.62715,-122.35746,Entire home/apt,165,3,82,1.31,1,246
"Cozy Condo in Fremont, with parking",25746073,Other neighborhoods,Fremont,47.6534,-122.35351999999999,Entire home/apt,113,30,152,2.39,1,365
Spacious Studio close to UW campus,25816390,Capitol Hill,Montlake,47.63799,-122.30401,Entire home/apt,55,2,210,3.42,2,88
Beautiful Seattle Home ,10420224,Other neighborhoods,Greenwood,47.68412,-122.34703,Entire home/apt,225,30,2,0.03,1,0
Phinney Ridge Spacious 7+BR  View! Sleeps 20+,534305,Other neighborhoods,Phinney Ridge,47.67306,-122.35163999999999,Entire home/apt,450,3,68,1.16,1,289
Greenlake View Home,6421859,Other neighborhoods,Phinney Ridge,47.68087,-122.35491,Entire home/apt,105,4,47,0.75,1,0
Shared Space Main Temple Hondo,25971312,Downtown,International District,47.59925,-122.32824,Shared room,55,30,327,5.4,4,365
Shared Space Main Temple Hondo 2nd,25971312,Downtown,International District,47.599309999999996,-122.32831999999999,Shared room,55,30,232,4.03,4,365
Spacious Studio Condo ,25999682,Downtown,First Hill,47.61183,-122.32941000000001,Entire home/apt,250,30,0,,1,0
Charming 1906 Craftsman,25355782,Capitol Hill,Stevens,47.63004,-122.3072,Entire home/apt,207,3,43,0.76,1,61
"View, Location and Plenty of Space",26032511,Queen Anne,East Queen Anne,47.62992,-122.34463000000001,Entire home/apt,158,2,151,2.42,1,37
1910 Neoclassical: Quiet & Spacious in N. Seattle,25041496,Other neighborhoods,Ravenna,47.67452,-122.30892,Private room,89,30,120,1.97,1,0
Queen Anne Spa Retreat Featured in New York Times,10194168,Queen Anne,North Queen Anne,47.644909999999996,-122.37346000000001,Entire home/apt,195,2,176,2.9,1,352
City Living w/ Parking!,24148567,Downtown,Belltown,47.615109999999994,-122.34868999999999,Entire home/apt,120,2,152,2.41,2,360
2 car garage ⭐️94 walkscore ⭐️King Bed ⭐️Roomy,165390,Other neighborhoods,Fremont,47.6531,-122.34858,Entire home/apt,225,30,9,0.15,5,270
Capitol Hill Excursion PartThree,7354306,Capitol Hill,Broadway,47.623020000000004,-122.32428999999999,Private room,38,30,128,2.24,5,52
Location and Comfort! Best area to stay in Seattle,15502197,Central Area,Minor,47.60998,-122.31482,Private room,55,1,63,1.34,8,131
Cozy room in West Seattle,25963725,Delridge,High Point,47.53463,-122.36468,Private room,50,30,169,2.65,1,364
Beautiful 2 Bed with Portage Bay + UW Campus Views,9555983,Capitol Hill,Portage Bay,47.65112,-122.32043,Entire home/apt,197,2,183,3.0,2,343
Light Filled Top Floor Condo,26435828,Central Area,Minor,47.61155,-122.31061000000001,Entire home/apt,180,30,3,0.07,1,0
Updated Craftsman in West Seattle -Entire Property,6372725,West Seattle,Seaview,47.547470000000004,-122.39386999999999,Entire home/apt,99,2,13,3.25,1,39
Modern 1br - Walkscore 98!,1826258,Capitol Hill,Broadway,47.61443,-122.31685,Entire home/apt,150,30,9,0.15,2,0
Private Suite in Ballard Craftsman Bungalow,26553618,Ballard,Adams,47.67151,-122.38266999999999,Private room,64,3,134,3.14,1,254
Master Bedroom with Half Bath,26475960,Other neighborhoods,Bryant,47.66786,-122.28437,Private room,58,2,76,1.42,3,111
Secret Garden | 9 miles to downtown,26513643,Rainier Valley,Rainier View,47.49882,-122.26795,Entire home/apt,49,1,116,5.47,1,0
Seattle Charm,179626,Ballard,West Woodland,47.66494,-122.36168,Entire home/apt,120,2,224,3.54,1,0
Modern townhouse near Lake Union,3279326,Queen Anne,East Queen Anne,47.63328,-122.34432,Shared room,500,30,0,,1,2
Impressive 1BD with dramatic floor-to-ceiling windows,8534462,Downtown,Pike-Market,47.611259999999994,-122.34198,Entire home/apt,300,2,66,1.05,312,0
Cozy one-bedroom condo & parking,27003863,Lake City,Victory Heights,47.71862,-122.29836999999999,Entire home/apt,85,2,39,0.65,2,364
"Cool/Fun House on Capitol Hill, Bdrm #2",27128557,Central Area,Minor,47.612429999999996,-122.3159,Private room,89,1,594,9.5,3,149
"2 Bedroom, 2 Bath, Downtown Seattle",14980831,Downtown,First Hill,47.61215,-122.32971,Entire home/apt,185,3,153,2.48,7,201
"Fun/Cool House on Capitol Hill, Bdrm #1",27128557,Central Area,Minor,47.6118,-122.31416000000002,Private room,89,1,578,9.16,3,285
Serene New in Wallingford 305,3074414,Other neighborhoods,Fremont,47.65679,-122.34726,Entire home/apt,88,30,16,0.26,49,255
We Are Using AirBnB/CDC Guidelines For Cleaning,27054652,Delridge,North Delridge,47.5613,-122.3624,Entire home/apt,70,28,91,1.46,1,358
★ 800sqft ★ Private Entr + Bath ★Near Carkeek Park,13004337,Other neighborhoods,Broadview,47.71703,-122.36483999999999,Entire home/apt,81,2,217,3.47,1,265
Cozy nest with private bathroom,2287724,West Seattle,North Admiral,47.57783,-122.38928999999999,Private room,47,2,127,2.01,1,159
Spectacular View on Capitol Hill,1870462,Central Area,Minor,47.61269,-122.31336,Entire home/apt,175,2,260,4.21,1,171
Beautiful Loft Apartment UW ,27656377,Other neighborhoods,Wallingford,47.66167,-122.33373999999999,Entire home/apt,75,30,1,0.02,1,0
Quaint Backyard Cottage in Seattle,27663401,Northgate,Maple Leaf,47.700540000000004,-122.31741000000001,Entire home/apt,125,2,157,2.53,1,356
Spacious bedroom and parking/Lake City,27003863,Lake City,Victory Heights,47.71655,-122.29818999999999,Private room,70,3,4,0.07,2,365
Lake Washington View Home,13166509,Other neighborhoods,View Ridge,47.68452,-122.26596,Entire home/apt,495,4,1,0.26,1,0
2 BR Next To Space Needle & Arena!!,27322459,Queen Anne,Lower Queen Anne,47.6225,-122.35583999999999,Entire home/apt,137,30,240,3.87,2,365
Loyal Heights Guest House,25274592,Ballard,Loyal Heights,47.68507,-122.39262,Entire home/apt,139,2,68,1.09,1,347
Dine in the Treetops at a Secluded Mid-century Hideaway,15823970,Delridge,North Delridge,47.56451,-122.36176999999999,Entire home/apt,179,2,230,3.77,1,70
Modern Alki Beach House - Steps from the Sand,5464287,West Seattle,North Admiral,47.58018,-122.40263,Entire home/apt,117,30,8,0.13,1,261
Walk everywhere— ideal for families!,27606550,Queen Anne,West Queen Anne,47.63933,-122.3616,Entire home/apt,79,2,3,0.05,1,0
Historic Capitol Hill Apartment,27919460,Capitol Hill,Stevens,47.61638,-122.31158,Entire home/apt,110,2,260,4.13,1,110
Urban Family-Friendly Neighborhood,19783937,Central Area,Madrona,47.61018,-122.29055,Entire home/apt,300,30,3,0.07,1,0
The Palace de Alice,27967988,Capitol Hill,Broadway,47.62659,-122.32676000000001,Entire home/apt,145,30,68,1.1,1,365
Spacious Green Lake Suite,1783367,Other neighborhoods,Roosevelt,47.68039,-122.31868,Entire home/apt,100,3,82,1.32,1,66
Comfy Queen Anne Digs,10952315,Queen Anne,North Queen Anne,47.65017,-122.3676,Entire home/apt,99,2,157,2.57,1,0
Serene W/D  walk toUW/U Village 404,3074414,University District,University District,47.66267,-122.30436999999999,Entire home/apt,92,30,20,0.32,49,180
Cozy Room Near UW,11613383,University District,University District,47.667790000000004,-122.31998,Private room,72,2,160,2.58,1,260
Beautiful Tudor Home Water View,5976835,Seward Park,Seward Park,47.5596,-122.27215,Entire home/apt,250,30,2,0.03,1,360
Ballard Garden Apartment,28375755,Ballard,Adams,47.6726,-122.38843999999999,Entire home/apt,115,3,146,2.44,1,114
Explore Capitol Hill from a Roomy Apartment,13669439,Capitol Hill,Stevens,47.63146,-122.30847,Entire home/apt,133,2,285,4.76,3,361
Amaze Seattle Greenlake Ravenna Cowen Park UW bike,28379912,Other neighborhoods,Ravenna,47.678470000000004,-122.31095,Private room,30,30,38,0.63,9,53
"Seattle UW Greenlake Ravenna, Cowen Park walk",28379912,Other neighborhoods,Ravenna,47.67858,-122.309,Private room,47,30,28,0.46,9,180
Modern Capitol Hill 1-bedroom,6195485,Capitol Hill,Broadway,47.62258,-122.3149,Entire home/apt,180,30,59,1.29,1,0
Cozy Room w Private Bathroom+Garden,28529868,Other neighborhoods,Greenwood,47.69972,-122.34508999999998,Private room,66,30,25,0.41,1,364
Special Events Venue and Guesthouse,9555890,Central Area,Minor,47.6068,-122.30909,Entire home/apt,350,1,37,0.61,5,102
Location & Luxury at a Great Price!,28653007,Other neighborhoods,Fremont,47.65202,-122.34591999999999,Entire home/apt,145,30,42,0.73,3,363
Nice Cozy Futon in Mapleleaf,10590193,Northgate,Maple Leaf,47.70438,-122.3221,Shared room,30,30,3,0.05,2,62
Madrona Studio w/Private Entrance,26630462,Central Area,Madrona,47.61606,-122.29205,Private room,81,3,166,2.74,1,129
Private Apartment by University of WA & Greenlake,6587854,Other neighborhoods,Roosevelt,47.673120000000004,-122.31603,Entire home/apt,155,1,58,2.14,1,214
Breathtaking view From Capitol Hill,16685525,Capitol Hill,Broadway,47.623090000000005,-122.32781000000001,Entire home/apt,225,30,0,,1,0
"CLEAN, 1BR, Full kitchen, 3 blocks to Green Lake",11839982,Other neighborhoods,Green Lake,47.68587,-122.32757,Entire home/apt,129,2,9,0.16,1,217
Newly remodeled 2 bed townhouse!,29071188,Northgate,Pinehurst,47.71172,-122.32585,Entire home/apt,125,2,18,0.31,1,312
"2BR/1BA+1 Sofa Bed, Walk to UW ",22890326,Other neighborhoods,Laurelhurst,47.66252,-122.28392,Entire home/apt,120,30,0,,1,0
A Touch of Europe #1 or Ideal for Solo Traveler#2,2696775,Other neighborhoods,Greenwood,47.69722,-122.34876000000001,Private room,42,3,152,2.46,2,301
Northern Lights Cottage,33360,West Seattle,Fairmount Park,47.554840000000006,-122.38512,Entire home/apt,125,3,55,0.93,8,358
Centrally located sanctuary,5420191,Central Area,Mann,47.60958,-122.29886,Entire home/apt,140,2,204,3.55,1,280
Beautiful loft in downtown Fremont,28007250,Other neighborhoods,Fremont,47.65012,-122.34328000000001,Entire home/apt,200,30,25,0.41,1,0
6 Bdrm Home 5 mins 2 DT- Perfect 4 Groups & Family,22372266,Queen Anne,West Queen Anne,47.638020000000004,-122.36505,Entire home/apt,386,3,108,1.83,2,341
Walk to Live Music Venues From a Columbia City Hideaway,4610250,Rainier Valley,Columbia City,47.56361,-122.28905,Entire home/apt,94,1,276,4.55,1,113
Beautiful Queen Anne Home,5072241,Queen Anne,North Queen Anne,47.64262,-122.36435,Entire home/apt,445,2,34,0.57,1,261
"Sunny, Warm Ballard Home",12483454,Ballard,West Woodland,47.67501,-122.36917,Entire home/apt,450,4,9,0.15,2,0
Beautiful Phinney/Ballard Retreat,3751963,Ballard,West Woodland,47.66884,-122.36838,Entire home/apt,144,30,84,1.39,1,153
Eco-Friendly MIL Apartment,29884019,Central Area,Harrison/Denny-Blaine,47.62389,-122.29468999999999,Entire home/apt,140,3,100,2.15,1,120
Lake View! S. Seattle 1912 Craftsman,5382803,Rainier Valley,Rainier Beach,47.5099,-122.24278000000001,Entire home/apt,200,30,7,0.3,1,2
Everything you need in Fremont.,22071593,Other neighborhoods,Fremont,47.652609999999996,-122.35237,Entire home/apt,85,30,87,1.41,1,0
Amazing Location Near Pikes Place!,4962900,Downtown,Central Business District,47.607279999999996,-122.34028,Entire home/apt,999,2,12,0.21,32,350
Secret Garden W/Private Patio/Prkng,30030857,Other neighborhoods,Fremont,47.65589,-122.35264,Entire home/apt,150,30,172,2.87,1,0
Modern & cozy studio,20046375,Central Area,Atlantic,47.59284,-122.30309,Entire home/apt,81,1,118,2.03,2,110
A Place For A Family,30115945,Seward Park,Seward Park,47.551840000000006,-122.26228,Entire home/apt,95,1,143,2.68,1,0
Spacious Bryant Apartment; walk to UW & hospitals,673805,Other neighborhoods,Ravenna,47.668440000000004,-122.29857,Entire home/apt,115,30,138,2.28,2,32
"Unique, beautiful bungalow, with amazing layout",4181260,Northgate,Maple Leaf,47.69495,-122.31988999999999,Entire home/apt,175,3,213,3.49,2,343
"Convenient Location,1 Bedroom 1 Bath private patio",25243138,Beacon Hill,North Beacon Hill,47.58791,-122.3082,Entire home/apt,90,1,214,4.29,1,11
Private room in cute house,26607215,Lake City,Matthews Beach,47.70299,-122.2807,Private room,50,30,2,0.04,1,0
302 Beacon hill double bedroom,20448703,Beacon Hill,Mid-Beacon Hill,47.54452,-122.30127,Private room,58,2,186,3.08,3,82
Home apartment with all the comfort.,30550537,Other neighborhoods,Phinney Ridge,47.68087,-122.35613000000001,Entire home/apt,75,2,237,3.86,1,354
Steps to UW Wood Floor Remodeled 12,3074414,University District,University District,47.65704,-122.31683000000001,Entire home/apt,93,30,19,0.31,49,365
Walk to the best spots in Seattle!!,29824474,Downtown,Belltown,47.614309999999996,-122.34726,Entire home/apt,150,3,205,3.38,1,179
Relax in the Heart of Fremont,2661374,Other neighborhoods,Fremont,47.650929999999995,-122.34625,Entire home/apt,95,30,7,0.12,1,0
Historic downtown studio (+parking),17225510,Downtown,Belltown,47.61372,-122.34463999999998,Entire home/apt,99,2,319,5.33,1,176
Ballard Victorian 900 sq ft apt,53050,Ballard,Adams,47.67142,-122.38538999999999,Entire home/apt,129,5,27,0.45,1,145
"Urban oasis, perfect for dog owners",13240442,Capitol Hill,Stevens,47.6238,-122.30212,Entire home/apt,125,4,33,0.54,2,275
Cozy Roosevelt Getaway,4784535,Other neighborhoods,Roosevelt,47.67787,-122.31594,Entire home/apt,80,2,142,2.82,1,262
"Lg-Rm, View, 20 min to downtown, avail. to rent",31036041,West Seattle,Gatewood,47.54571,-122.3818,Private room,39,30,199,3.26,4,61
1914 Stunner View Ocean Mountain,31037494,Queen Anne,West Queen Anne,47.64063,-122.37271000000001,Entire home/apt,175,108,19,0.32,1,242
Spacious Remodled Attic in U Village/UW,3074414,Other neighborhoods,Ravenna,47.66538,-122.29721,Private room,59,30,7,0.13,49,306
Quiet Seattle Cottage Nestled in the Trees,23169254,West Seattle,North Admiral,47.57587,-122.39843,Entire home/apt,100,1,230,3.84,1,173
Newly Remodeled (5B/3Ba) by Alki Beach & Downtown,4634468,West Seattle,Alki,47.565979999999996,-122.39971000000001,Entire home/apt,560,5,12,0.2,1,31
A room near UW village,30745896,University District,University District,47.66453,-122.30445,Entire home/apt,40,30,0,,1,0
Lovely spacious home in Seattle,31032387,Capitol Hill,Broadway,47.62705,-122.31953999999999,Entire home/apt,700,3,63,1.04,1,362
1 Room in Beautiful Fremont,4694909,Other neighborhoods,Fremont,47.657740000000004,-122.34992,Private room,50,30,1,0.02,1,0
Inn Seattle Balcony room with Lake & Mt. Views,12796487,Capitol Hill,Stevens,47.6192,-122.30939,Private room,125,30,16,0.28,12,88
Barn 11 : Walk to Downtown Seattle,31509,Capitol Hill,Broadway,47.61945,-122.31853000000001,Entire home/apt,119,5,214,3.55,2,38
Tiny House in Seattle,31551373,West Seattle,Genesee,47.56491,-122.3961,Entire home/apt,140,1,542,11.69,1,328
"Spacious, Modern Studio in Fremont",19598332,Other neighborhoods,Fremont,47.6559,-122.36102,Entire home/apt,114,1,388,6.4,2,81
Park and Lake View Suite,13774169,Seward Park,Seward Park,47.555820000000004,-122.26535,Entire home/apt,127,3,138,2.32,1,45
Downtown 2BR 2BA Waterview Condo,31730119,Downtown,Central Business District,47.60815,-122.33823000000001,Entire home/apt,290,30,55,0.91,1,365
Spacious 3BR/2BA  Family Home,13566271,Queen Anne,East Queen Anne,47.63787,-122.35306000000001,Entire home/apt,350,30,93,1.6,3,364
Seattle TREEHOUSE & Homestead,4193,Rainier Valley,Dunlap,47.529759999999996,-122.2757,Private room,20,30,107,1.8,3,365
Twin Bed in Shared Dorm @ Pike Place Hostel,31751507,Downtown,Pike-Market,47.60908,-122.34011000000001,Hotel room,39,1,403,6.71,3,312
Awesome Studio In Heart of Seattle,13042181,Central Area,Mann,47.61868,-122.29616999999999,Entire home/apt,67,2,250,4.14,1,326
2BR Apt in Lovely Queen Anne Home,13566271,Queen Anne,East Queen Anne,47.63785,-122.35359,Entire home/apt,200,30,83,1.41,3,334
"New, Bright, Modern in W. Seattle",20695413,West Seattle,Gatewood,47.54351,-122.38472,Private room,100,1,274,4.52,2,358
Industrial Chic Ensuite Cottage,2334189,Ballard,Whittier Heights,47.68801,-122.36956,Entire home/apt,112,2,171,2.89,1,88
"Modern, Green, Sleek and Thoughtful",7488822,Other neighborhoods,Greenwood,47.69251,-122.36466000000001,Entire home/apt,120,1,183,3.04,1,82
Peaceful one bedroom Retreat,1747753,Beacon Hill,North Beacon Hill,47.57982,-122.30688,Entire home/apt,84,3,54,0.97,1,316
Admire Lake Views from the Sun Deck at a Spacious Retreat,32005391,Seward Park,Seward Park,47.56278,-122.27192,Entire home/apt,188,2,131,2.21,1,180
Casa de Chet,32008173,Other neighborhoods,Fremont,47.6522,-122.34751999999999,Entire home/apt,95,30,0,,1,0
Tiny Log Home on Beacon Hill just 2 miles from CBD,32069664,Beacon Hill,Mid-Beacon Hill,47.56583,-122.31492,Entire home/apt,100,2,147,2.57,1,277
Best Location Downtown - Beautiful!,4160438,Downtown,Belltown,47.61518,-122.34693,Entire home/apt,299,7,26,0.43,1,356
Cozy 1BD Apartment in Wallingford.,7556974,Other neighborhoods,Wallingford,47.65164,-122.33861999999999,Entire home/apt,134,3,95,1.58,1,167
Welcome...A private space for you!,32169894,Other neighborhoods,View Ridge,47.679120000000005,-122.26878,Entire home/apt,90,1,91,2.21,1,328
Chic 1 Bed with Lake and UW Campus View,9555983,Capitol Hill,Portage Bay,47.65028,-122.31918999999999,Entire home/apt,137,30,191,3.23,2,365
Beautiful Space Needle/Skyline View,32238651,Capitol Hill,Broadway,47.62108,-122.3268,Entire home/apt,100,30,55,0.92,1,0
Jesuit Seattle university washington walk bike bus,28379912,Other neighborhoods,Ravenna,47.68018,-122.30977,Private room,30,30,35,0.59,9,179
Cozy get-away in the city...,2318574,Other neighborhoods,Fremont,47.65692,-122.34656000000001,Entire home/apt,78,80,27,0.46,2,296
Farmhouse Penthouse,8957443,Other neighborhoods,Roosevelt,47.67998,-122.31907,Entire home/apt,265,30,0,,1,0
Quaint Ballard Bungalow,32426630,Ballard,Whittier Heights,47.68073,-122.37183999999999,Entire home/apt,112,1,190,3.16,1,327
"LUXURY -- ""THE""  Post Card View Too",16255476,Queen Anne,Lower Queen Anne,47.629090000000005,-122.35918000000001,Entire home/apt,615,2,71,1.22,3,257
Single @ Seattle Artists' Residence,780837,Rainier Valley,Rainier Beach,47.51637,-122.25995,Private room,39,2,95,1.6,2,0
Greenlake Guest Bedroom (house to yourself),32546254,Other neighborhoods,Green Lake,47.67491,-122.32524,Entire home/apt,100,30,13,0.22,2,0
4 Bedroom In Madrona Neighborhood,924853,Central Area,Madrona,47.615840000000006,-122.29038999999999,Entire home/apt,325,30,7,0.12,1,0
Modern Condo in Belltown,32099252,Downtown,Belltown,47.61438,-122.34891999999999,Entire home/apt,125,2,78,1.37,1,345
Cosy Central District room,15436286,Central Area,Mann,47.61298,-122.30147,Private room,65,30,12,0.2,1,0
3 bdrm Craftsman home on Greenlake,32546254,Other neighborhoods,Green Lake,47.67478,-122.32462,Entire home/apt,225,30,10,0.18,2,0
Vintage Apt in Heart of CapitolHill,32532664,Capitol Hill,Broadway,47.61502,-122.32306000000001,Entire home/apt,175,30,12,0.2,1,0
Modern Luxury on Capitol Hill Great Monthly Rates,1121532,Capitol Hill,Broadway,47.62225,-122.32378999999999,Entire home/apt,99,1,26,1.15,6,327
"Apt in Bryant, near UW &Children's",32552913,Other neighborhoods,Bryant,47.68119,-122.28926000000001,Entire home/apt,95,30,14,0.24,1,362
房屋分租,28763024,Beacon Hill,North Beacon Hill,47.57707,-122.30316,Private room,25,30,5,0.08,9,346
Capitol Hill 2BR Apartment,32276233,Capitol Hill,Broadway,47.62596,-122.3178,Entire home/apt,134,30,1,0.02,1,0
2 BDRM Apt in Cap Hill - 750 sq ft,7219180,Capitol Hill,Broadway,47.62446,-122.32359,Entire home/apt,500,30,5,0.08,2,0
Beautiful condo for work and play.,3303221,Capitol Hill,Broadway,47.613659999999996,-122.31586999999999,Entire home/apt,98,30,26,0.43,1,252
Downtown Seattle Free Parking Walk to Space Needle,74305,Downtown,Belltown,47.61457,-122.34818,Entire home/apt,94,1,83,1.41,51,67
Queen Anne Comfort,27215994,Queen Anne,East Queen Anne,47.62939,-122.34591999999999,Entire home/apt,109,30,0,,1,0
Cute Bungalow w/ Private Apartment,32932119,Other neighborhoods,Bitter Lake,47.70565,-122.35218,Entire home/apt,85,3,22,0.38,2,270
Bright Home in Amazing Neighborhood,15980816,Rainier Valley,Columbia City,47.56237,-122.28487,Entire home/apt,125,30,2,0.03,1,0
Cozy Private 1BR Oasis,32940818,Capitol Hill,Broadway,47.62203,-122.31635,Private room,89,1,32,0.54,4,350
Steps from lively Georgetown ★ Sleeps 6 ★ Parking,3163979,Beacon Hill,Mid-Beacon Hill,47.55402,-122.31755,Entire home/apt,115,2,218,3.67,1,0
Located in the heart of Queen Anne,25150356,Queen Anne,West Queen Anne,47.63752,-122.36081000000001,Entire home/apt,99,2,94,1.56,2,0
Charming home on Queen Anne,33147763,Queen Anne,West Queen Anne,47.63852,-122.36958,Entire home/apt,400,30,1,0.02,1,0
Gorgeous Downtown Studio with Great Street Views!,20493911,Downtown,Belltown,47.61334,-122.34408,Entire home/apt,165,1,418,6.96,10,139
Perfect Location on Lake Union,13370163,Cascade,Eastlake,47.63754,-122.32739,Private room,195,30,2,0.03,1,0
Fun Loft Style Home,1890330,Other neighborhoods,Greenwood,47.69125,-122.36118,Entire home/apt,175,30,4,0.07,1,0
Cozy Home Near Lake Union & UW,4540222,Other neighborhoods,Wallingford,47.6534,-122.32953,Entire home/apt,180,3,126,2.1,1,195
Modern 1 BD Madison Valley Apartment w/ back yard,8280295,Central Area,Harrison/Denny-Blaine,47.62004,-122.29365,Entire home/apt,115,2,98,2.08,1,270
Beach House in the City - Great Views and Location,33236866,Other neighborhoods,North Beach/Blue Ridge,47.70432,-122.38179,Entire home/apt,390,3,32,0.55,1,0
Arboretum/ UW Seattle 4BR House,7118717,Capitol Hill,Montlake,47.640029999999996,-122.2985,Entire home/apt,400,30,10,0.17,1,0
Charming Private 1BR Oasis,32940818,Capitol Hill,Broadway,47.62205,-122.3156,Private room,89,1,123,2.05,4,349
"sweet, cute,cozy room in Seattle",32132489,University District,University District,47.65747,-122.32165,Private room,40,30,0,,1,0
Cute little Seattle Studio!,2052160,Queen Anne,West Queen Anne,47.63462,-122.35802,Entire home/apt,147,30,90,1.55,1,90
This space is no longer available,11884158,Other neighborhoods,Greenwood,47.68988,-122.35586,Entire home/apt,125,30,0,,1,0
