Company,Active Brand (Y/N),Headquarters,Employees,Founded,Last Acquired,Lead Executive,Owner/Major Investor,Parent Company,Parent Stock Ticker,Parent Public Exposure,Primary Sector,Primary Sub-sector,Secondary Sector,Secondary Sub-sector,Immigration Detention Involvement,Supports Prison Labor,"Harm Score
(3-15)",Divestment (Y/N),Annual Revenues (Mn),Revenue Fiscal Year," Prison Industry Revenue Only
(Y/N)",Political Spending (Cumalative Since 2010),Notes,Website,Corrections,Immigration Detention,Prison Labor,Financials,Other 
Altec,Y,AL,1700,1929,,"Lee J. Styslinger, III",,,,"Tier 3 - Large Privately-Owned, requires outside financing",Equipment,"Furnishings, Supplies, & Other Facility Equipment",,,Y,,,,790,2018,N,,,https://www.altec.com/,,Sludge - ICE Contract (https://readsludge.com/2018/07/06/who-is-making-money-from-ice-in-your-state/),,PrivCo (www.privco.com),
Alternative Sentencing Solutions,Y,OK,,2011,,,,,,Tier 4 - Small Privately-Owned,Community Corrections,Electronic Monitoring,,,,,,,,,Y,,,http://www.alternativesentencingofoklahoma.com/,http://doc.ok.gov/Websites/doc/images/Documents/Administration/General%20Services/Contracts%20and%20Acquisitions/1310003863-T.pdf,,,,
Altex Solutions Group,Y,AL,,,,,,,,Tier 4 - Small Privately-Owned,Operations & Management,"Procurement, Contracting, & Other Admin Services",Programs & Labor,Vocation/Industries (Prison Labor),,Y,,,,,N,,,http://www.altexsolutionsgroup.com/,https://www.nationalcia.org/corporate-members,,https://www.nationalcia.org/corporate-members,,
Alto-Shaam,Y,WI ,500,1955,,,,,,Tier 4 - Small Privately-Owned,Food & Commissary,Kitchen Equipment,Equipment,"Furnishings, Supplies, & Other Facility Equipment",,,,,140,2018,N,,,https://www.alto-shaam.com/en,https://www.alto-shaam.com/en/our-markets/correction,,,PrivCo (www.privco.com),
Alutiiq Diversified Services,Y,AL,,1999,,,,Afognak Native Corporation,,Tier 4 - Small Privately-Owned,Personnel,Third Party Staffing,,,Y,,,,,,N,,,https://www.alutiiq.com/,,GovSpend,,PrivCo (www.privco.com),See website
Alvarado Manufacturing,Y,CA,100,1956,,,,,,Tier 4 - Small Privately-Owned,Equipment,Security Equipment,,,,,,,24,2018,N,,,http://www.alvaradomfg.com/,https://www.ncjrs.gov/pdffiles1/nij/grants/192735.pdf,,,PrivCo (www.privco.com),
Alvarez (formerly Alvarez & Associates),Y,VA,,2004,,,,,,"Tier 3 - Large Privately-Owned, requires outside financing",Data & Information Systems,IT & Communcations Infrastructure & Service,,,Y,,,,363.023,2018,N,,,https://www.alvarezit.com/,,GovSpend,,PrivCo (www.privco.com),
Alvin Equipment Co,Y,TX,,1952,,,,,,Tier 4 - Small Privately-Owned,Equipment,"Furnishings, Supplies, & Other Facility Equipment",,,,,,,,,N,,,https://www.alvinequipment.com/,TDCJ Spending,,,,
Alvin H Butz,Y,PA,177,1920,,,,Butz Enterprises,,"Tier 3 - Large Privately-Owned, requires outside financing",Construction & Maintenance,Construction,Construction & Maintenance,Maintenance Services,,,,,260,2018,N,,Original construction business of Butz Enterprises,http://www.butz.com/,http://www.butz.com/clients.htm,,,PrivCo (www.privco.com),
AM Leonard,Y,OH,120,1885,,,,,,Tier 4 - Small Privately-Owned,Equipment,"Furnishings, Supplies, & Other Facility Equipment",,,,,,,60,2018,N,,,https://www.amleo.com/,http://correctionsmarketplace.com/,,,PrivCo (www.privco.com),
AM Weigal Construction,Y,FL,,2004,,,,,,Tier 4 - Small Privately-Owned,Construction & Maintenance,Construction,,,,,,,,,N,,,https://amweigel.com/,https://amweigel.com/portfolio/,,,,
AMAG Technology (formerly American Magnetics Corp),Y,CA,,1987,1993,,,G4S,GFS-GB,Tier 1a - Publicly Traded - Targeted Correctional Exposure,Equipment,Security Technology,,,,,14,Y,,,Y,,Acquired by G4S as American Magnetic Corp in 1993 and name changed,http://www.amag.com/en/,http://www.amag.com/en/solutions/government,,,,http://www.securitysystemsnews.com/article/group-4-securitas-adopts-amag-name
Amatrol,Y,IN,,1981,,,,,,Tier 4 - Small Privately-Owned,Programs & Labor,"Education Services, Materials, & Technology",,,,Y,,,68,2018,N,,,https://amatrol.com/,https://www.nationalcia.org/2019-exhibitors,,See corrections source,PrivCo (www.privco.com),
Amazon,Y,WA,566000,1994,,Jeff Bezoz,,,AMZN,Tier 1a - Publicly Traded - Targeted Correctional Exposure,Data & Information Systems,IT & Communcations Infrastructure & Service,Data & Information Systems,Immigration Data Systems,Y,,13,Y,280522,2019,N,,,https://www.amazon.com,https://aws.amazon.com/stateandlocal/justice-and-public-safety/,https://mijente.net/wp-content/uploads/2018/10/WHO%E2%80%99S-BEHIND-ICE_-The-Tech-and-Data-Companies-Fueling-Deportations-_v1.pdf,,FactSet,https://www.amazon.com/gp/help/customer/display.html/ref=hp_left_sib?ie=UTF8&nodeId=201117650
AMBICO,Y,Canada,,,,,,,,Tier 4 - Small Privately-Owned,Construction & Maintenance,Construction,Equipment,"Furnishings, Supplies, & Other Facility Equipment",,,,,,,N,,,https://www.ambico.com/,http://www.4specs.com/s/08/08-3460.html,,,,
AmCare Ambulance Service,Y,NY,,1981,,,,,,Tier 4 - Small Privately-Owned,Healthcare,Ambulance Services,,,,,,,,,N,,,http://amcareems.com/,NYS DOCCS Spending,,,,
AmChar Wholesale,Y,NY,,1967,,,,,,Tier 4 - Small Privately-Owned,Equipment,Security Equipment,,,,,,,,,N,,,https://www.amchar.com/,NYS DOCCS Spending,,,,
AmeraProducts,Y,TX,,,,,,,,Tier 4 - Small Privately-Owned,Equipment,"Furnishings, Supplies, & Other Facility Equipment",,,,,,,,,N,,,https://www.ameraproducts.com/,https://www.ameraproducts.com/Security-Grab-Bars.htm,,,,
AmerCare Products,Y,SC,,1987,,,,,,Tier 4 - Small Privately-Owned,Equipment,"Furnishings, Supplies, & Other Facility Equipment",,,,,,,,,N,,,https://amercare.com/,https://facts.fldfs.com/Search/PurchaseOrderDetails.aspx?AgencyId=700000&PONo=PO325340,,,,
American & Efird,Y,NC,,1891,2018,Per-Olof Loof,Platinum Equity,,,Tier 2 - Investment Firm-Owned,Equipment,"Furnishings, Supplies, & Other Facility Equipment",Programs & Labor,Vocation/Industries (Prison Labor),,Y,7,,,,N,,Acquired by Platinum Equity in 2018,http://www.amefird.com/,TDCJ Spending,,https://www.nationalcia.org/corporate-members,,https://www.prnewswire.com/news-releases/kps-capital-partners-to-sell-american--efird-to-platinum-equity-capital-partners-300603902.html
American Addiction Centers (dba AAC Holdings),Y,TN,2100,2007,,Michael Cartwright,,,AACH,Tier 1a - Publicly Traded - Targeted Correctional Exposure,Healthcare,Substance Abuse Treatment,,,,,9,,295.763,2018,N,,,https://americanaddictioncenters.org/,See Adcare Recovery Services,,,FactSet,https://www.prnewswire.com/news-releases/aac-holdings-completes-acquisition-of-adcare-inc-300607123.html
American AED,Y,FL,,2005,,,,,,Tier 4 - Small Privately-Owned,Healthcare,Medical Healthcare,,,,,,,,,N,,,https://americanaed.com/,https://americanaed.com/aed-solutions/police-law-enforcement,,,,
American Airlines,Y,TX,126600,1930,,Doug Parker,,,AAL,Tier 1b - Publicly Traded - Other,Transportation,Other,,,,,9,,45768,2019,N,,Product shipping ,https://www.aa.com/homePage.do,OH DRC Spending,,,FactSet,
American Alarm,Y,MA,237,1971,,,,,,Tier 4 - Small Privately-Owned,Equipment,Security Equipment,,,,,,,44.220247,2018,N,,,https://www.americanalarm.com/,California Spending Data - 2018,,,PrivCo (www.privco.com),
American Aluminum Accessories,Y,FL,60,1992,,,,,,Tier 4 - Small Privately-Owned,Transportation,Prison Transportation,,,,,,,13.4,2018,N,,,http://www.ezrideronline.com/,http://register.aca.org/DOCS/Conference/COC2017/FINAL%20St%20Louis%20PROGRAM%20BOOK.pdf,,,PrivCo (www.privco.com),
American Builders & Contractors,Y,WI,14220,1982,,,,,,"Tier 3 - Large Privately-Owned, requires outside financing",Construction & Maintenance,Maintenance Services,Equipment,"Furnishings, Supplies, & Other Facility Equipment",,,,,10541.9,2018,N,,,https://www.abcsupply.com/,FL DOC Spending,,,PrivCo (www.privco.com),
American Community Corrections Institute,Y,UT,,1977,,,,,,Tier 4 - Small Privately-Owned,Programs & Labor,Rehab Programming,,,,,,,,,Y,,,http://www.offendercorrections.com/,See website,,,,
American Correctional Solutions,Y,CA,110,,,,,,,Tier 4 - Small Privately-Owned,Healthcare,Medical Healthcare,Healthcare,Other,,,,,27,2018,Y,5100,,http://www.correctionalsolutions.com/,http://www.correctionalsolutions.com/clients/,,,PrivCo (www.privco.com),
American Corrections Transportation,N,,,,1990,,,CoreCivic/TransCor,CXW,Tier 1a - Publicly Traded - Targeted Correctional Exposure,Transportation,Prison Transportation,,,,,13,Y,,,Y,,Merged with Extradition Corp of America to form TransCor in 1990,,See other source,,,,https://www.transcor.com/about-transcor/transcor-history/
American Electric Power,Y,OH,17666,1906,,Stephen J. Squeri,,,AEP,Tier 1b - Publicly Traded - Other,Construction & Maintenance,Utility/Energy,,,,,6,,15600,2019,N,,,https://www.aep.com/,OH DRC Spending,,,FactSet,
American Energy Restaurant Equipment,Y,VA,35,1979,,,,,,Tier 4 - Small Privately-Owned,Equipment,"Furnishings, Supplies, & Other Facility Equipment",,,,,,,31,2018,N,,,https://www.cleandishes.com/,https://facts.fldfs.com/Search/ContractSearch.aspx,,,PrivCo (www.privco.com),
American Health & Safety Institute,Y,OR,,1978,,,,,,Tier 4 - Small Privately-Owned,Personnel,Staff Training,,,,,,,,,N,,,http://www.hsi.com/,https://www.hsi.com/hubfs/HSI%20ASHI%20MEDIC%20TCAM%2019.6.pdf,,,,
American Hotel Register,Y,IL,1061,1865,,,,,,"Tier 3 - Large Privately-Owned, requires outside financing",Equipment,"Furnishings, Supplies, & Other Facility Equipment",,,,,,,957.46,2018,N,,,https://www.americanhotel.com/,https://www.americanhotel.com/content/LandingPages/Government_Procurement.aspx?intcmp=GMK-GOVT-GSA,,,PrivCo (www.privco.com),
American Integrated Security Group (AISG),Y,NY,170,2007,,,,,,Tier 4 - Small Privately-Owned,Equipment,Security Technology,,,,,,,21,2018,N,,,https://www.aisg-online.com/,https://www.aisg-online.com/solutions-by-industry/corrections/,,,PrivCo (www.privco.com),
American International Services,Y,VA,,,,,,,,Tier 4 - Small Privately-Owned,Equipment,"Furnishings, Supplies, & Other Facility Equipment",,,,,,,,,N,,,http://www.americaninternationalservices.com/,California Spending Data - 2018,,,,
American Medical Depot,Y,FL,180,1993,,,,,,Tier 4 - Small Privately-Owned,Equipment,"Furnishings, Supplies, & Other Facility Equipment",,,,,,,62.75,2018,N,,,https://www.amdnext.com/homenew,FL DOC Spending,,,PrivCo (www.privco.com),
American Panel,Y,FL,,1963,,,,,,Tier 4 - Small Privately-Owned,Food & Commissary,Kitchen Equipment,Equipment,"Furnishings, Supplies, & Other Facility Equipment",,,,,,,N,,,http://www.americanpanel.com/,http://www.acfsa.org/marketplace/marketplaceSearch.php?mCritQ=2,,,,
American Phone Systems,Y,LA,,,,,,,,Tier 4 - Small Privately-Owned,Telecom,Prison Communications,,,,,,,2.208411,2017,Y,13700,,http://www.aps-inmate.com/,See website,,,https://www.prisonpolicy.org/phones/financials/2017/american_phone_systems_llc_al_annual_financial_statements-inmate-year2017.pdf,
American Pipe & Tank,Y,NY,,,,,,,,Tier 4 - Small Privately-Owned,Construction & Maintenance,Maintenance Services,,,,,,,,,N,,,http://www.americanpipeandtank.com/,FL DOC Spending,,,,
American Prison Consultants,Y,CA,,2005,,,,,,Tier 4 - Small Privately-Owned,Other,Other,,,,,,,,,Y,,Consulting on how to serve time,http://www.americanprisonconsultants.com/,See website,,,,
American Prison Data Systems,Y,NY,,,,,,,,Tier 4 - Small Privately-Owned,Telecom,Tablets,Programs & Labor,"Education Services, Materials, & Technology",,,,,,,Y,,,http://apdscorporate.com/,See website,,,,
American Purchasing Services (dba American Medical Depot),Y,FL,,1993,,,,,,Tier 4 - Small Privately-Owned,Healthcare,Medical Equipment,,,Y,,,,,,N,,,https://www.amdnext.com/,,GovSpend,,,
American Reclamation,Y,CA,,,,,,,,Tier 4 - Small Privately-Owned,Construction & Maintenance,Maintenance Services,,,,,,,,,N,,,http://americanreclamationinc.com/,California Spending Data - 2018,,,,
American Refuse,Y,NE,,,,,,,,Tier 4 - Small Privately-Owned,Construction & Maintenance,Maintenance Services,,,,,,,,,N,,,https://www.americanrefuseinc.com/,California Spending Data - 2018,,,,
American Rock Salt,Y,NY,520,1997,,,,,,Tier 4 - Small Privately-Owned,Equipment,"Furnishings, Supplies, & Other Facility Equipment",,,,,,,210,2018,N,,,https://www.americanrocksalt.com/,NYS DOCCS Spending,,,PrivCo (www.privco.com),
American Science & Engineering (AS&E),Y,MA,,1958,2016,,,OSI Systems,OSIS,Tier 1a - Publicly Traded - Targeted Correctional Exposure,Equipment,Security Technology,,,,,10,,,,N,,Acquired by OSI Systems in 2016 for $269 M,http://www.as-e.com,https://www.as-e.com/products-solutions/markets/law-enforcement,,,,https://www.businesswire.com/news/home/20160912005202/en/OSI-Systems-Completes-Acquisition-American-Science-Engineering
American Securities,Y,NY,,1994,,Michael Fisch,,,,Tier 2 - Investment Firm-Owned,Investor,Equity/Debt Investor,,,,,12,Y,,,N,,,https://www.american-securities.com/en,See GTL,,,,
American Specialties,Y,NY,,,,,,,,Tier 4 - Small Privately-Owned,Equipment,"Furnishings, Supplies, & Other Facility Equipment",,,,,,,,,N,,,http://americanspecialties.com/,http://americanspecialties.com/product_category/security-accessories/,,,,
American Steel Products (aka Coastal Plain Ventures),Y,GA,,1933,,,,,,Tier 4 - Small Privately-Owned,Construction & Maintenance,Construction,Equipment,"Furnishings, Supplies, & Other Facility Equipment",,,,,,,Y,,,http://www.amsteelpro.com/,See website,,,,
American Surety Company,Y,CA,,1993,,,,,,Tier 4 - Small Privately-Owned,Community Corrections,Bail & Surety,,,,,,,,,Y,,,http://www.asc-usi.com/,https://www.aclu.org/report/selling-our-freedom-how-insurance-corporations-have-taken-over-our-bail-system,,,,
American Tex-Chem Corporation,Y,CA,90,2014,,,,,,Tier 4 - Small Privately-Owned,Equipment,"Furnishings, Supplies, & Other Facility Equipment",Programs & Labor,Vocation/Industries (Prison Labor),,Y,,,44,2018,N,,,https://www.myamtex.com/,TDCJ Spending,,See corrections source,PrivCo (www.privco.com),
American Textile Systems (aka American Paper Systems),Y,CA,,2010,,,,,,Tier 4 - Small Privately-Owned,Equipment,"Furnishings, Supplies, & Other Facility Equipment",,,,,,,,,N,,,http://www.amtexsys.com/,http://register.aca.org/DOCS/Conference/COC2017/FINAL%20St%20Louis%20PROGRAM%20BOOK.pdf,,,,
American Tire Distributors,Y,NC,4700,1935,2015,Stuart Schuette,Ares Management/TPG Capital,,ARES,Tier 1a - Publicly Traded - Targeted Correctional Exposure,Equipment,"Furnishings, Supplies, & Other Facility Equipment",,,,,8,,5300,2018,N,,Ares acquried significant stake in 2015 to equal TPG's ownership,http://atd-us.com/,TDCJ Spending,,,PrivCo (www.privco.com),https://www.businesswire.com/news/home/20150203006405/en/American-Tire-Distributors-Announces-Investment-Ares-Management
American Weapons Components,Y,AZ,,,,,,,,Tier 4 - Small Privately-Owned,Equipment,Security Equipment,,,,,,,,,N,,,https://www.americanweaponscomponents.com/,https://www.correctionsone.com/products/apparel/company-directory/,,,,
Ameriglo,Y,GA,,2001,,,,,,Tier 4 - Small Privately-Owned,Equipment,Security Equipment,,,,,,,,,N,,,https://ameriglo.com/,See website,,,,
AmeriPath,Y,FL,3979,2010,2007,,,Quest Diagnostics,DGX,Tier 1a - Publicly Traded - Targeted Correctional Exposure,Healthcare,Other,,,,,10,,752.321,2006,N,,Acquired by Quest Diagnostics in 2007 for $2 B,http://www.ameripath.com/,http://www.ameripath.com/wp-content/uploads/2015/10/OK-AmeriPath-Oklahoma-City-Q4-2017.pdf,,,https://www.sec.gov/Archives/edgar/data/1027532/000119312507068499/d10k.htm#tx98000_11,http://ir.questdiagnostics.com/phoenix.zhtml?c=82068&p=irol-newsArticle&ID=985011
Amerisochi,Y,OH,,,,,,,,Tier 4 - Small Privately-Owned,Healthcare,Medical Healthcare,Equipment,"Furnishings, Supplies, & Other Facility Equipment",,,,,,,N,,,http://www.amerisochi.com/,OH DRC Spending,,,,
Amerisource Bergen,Y,PA,21000,1871,,Steven H. Collis,,,ABC,Tier 1a - Publicly Traded - Targeted Correctional Exposure,Healthcare,Pharmacy,,,,,9,,179589.13,2019,N,,,https://www.amerisourcebergen.com/,NYS DOCCS Spending,,,FactSet,https://s24.q4cdn.com/386340686/files/doc_financials/annual_reports/2018-Summary-Annual-Report.pdf
Ameriworks Occupational Health Center,Y,OK,,1992,,,,,,Tier 4 - Small Privately-Owned,Healthcare,Medical Healthcare,,,,,,,,,N,,,http://ameriworksok.com/,http://doc.ok.gov/closed-bids,,,,
AMES Safety Envelope Company,Y,MA,,1774,2010,,,TAB Products,,"Tier 3 - Large Privately-Owned, requires outside financing",Healthcare,Medical Equipment,Equipment,"Furnishings, Supplies, & Other Facility Equipment",,,,,,,N,,Acquired by TAB Products in 2010,https://amesfiling.com/,http://correctionsmarketplace.com/,,,,http://www.tab.com/wp-content/uploads/2013/07/TAB-Ames-Press-Release-3-8-10.pdf
Amiberica,Y,IL,,,,,,,,Tier 4 - Small Privately-Owned,Programs & Labor,Vocation/Industries (Prison Labor),,,,Y,,,,,N,,,http://www.amiberica.net/,NYS DOCCS Spending,,See corrections source,,
Amikids,Y,FL,,1974,,,,,,Tier 4 - Small Privately-Owned,Programs & Labor,"Education Services, Materials, & Technology",,,Y,,,,,,N,,,http://www.amikids.org/,,Sludge - ICE Contract (https://readsludge.com/2018/07/06/who-is-making-money-from-ice-in-your-state/),,,
AMN Healthcare,Y,CA,2980,1985,,Susan Salka,,,AMN,Tier 1a - Publicly Traded - Targeted Correctional Exposure,Healthcare,Medical Healthcare,Personnel,Third Party Staffing,,,7,,2222.107,2019,N,,,https://www.amnhealthcare.com/,See Staff Care,,,FactSet,https://www.amnhealthcare.com/amn-staffing-and-recruitment-brands/
Ampac Chemical Co (formerly Aerojet Fine Chemicals),Y,CA,,1998,,,,,,Tier 4 - Small Privately-Owned,Healthcare,Pharmacy,Programs & Labor,Vocation/Industries (Prison Labor),,Y,,,,,N,,,http://www.ampacfinechemicals.com/index.php,TDCJ Spending,,See corrections source,,
AMSTED  Industries,Y,IL,16000,1902,,Stephen Smith,,,,"Tier 3 - Large Privately-Owned, requires outside financing",Equipment,"Construction, Equipment, & Acquisition Financing",,,,,,,3000,2018,N,,,https://www.amsted.com/,See Baltimore AirCoil,,,PrivCo (www.privco.com),
Amtec Less-Lethal Systems,Y,FL,,1996,,,,,,Tier 4 - Small Privately-Owned,Equipment,Security Equipment,,,,,,,,,N,,,https://www.lesslethal.com/,http://register.aca.org/DOCS/Conference/COC2017/FINAL%20St%20Louis%20PROGRAM%20BOOK.pdf,,,,
Amtech Solutions,Y,TX,,1982,,,,,,Tier 4 - Small Privately-Owned,Construction & Maintenance,Architecture & Engineerging,,,,,,,,,N,,,http://www.amtechbuildingsciences.com/,http://www.tdcj.texas.gov/divisions/finance/finance_contracts_contracts_current.html,,,,
AmTel (aka ATN),Y,GA,,1992,,,,,,Tier 4 - Small Privately-Owned,Telecom,Prison Communications,,,,,,,5.827376,2016,Y,,,http://www.myphoneaccount.com/Service/Facility/Facility_sm.php,See website,,,https://static.prisonpolicy.org/phones/financials/2016/atn_inc_2016_financial_report.pdf,
Amundsen Equipment,Y,OK,,,,,,,,Tier 4 - Small Privately-Owned,Equipment,"Furnishings, Supplies, & Other Facility Equipment",,,,,,,,,N,,,http://www.oklahomaicemakerleasing.com/,https://www.ok.gov/dcs/solicit/app/viewVendorAttachment.php?attachmentID=337,,,,
Anacapa Micro,Y,CA,20,1991,,,,,,Tier 4 - Small Privately-Owned,Data & Information Systems,IT & Communcations Infrastructure & Service,,,Y,,,,,,N,,,http://www.anacapamicro.com/anacapa/,,Sludge - ICE Contract (https://readsludge.com/2018/07/06/who-is-making-money-from-ice-in-your-state/),,PrivCo (www.privco.com),
Anaga Psychotherapy,Y,FL,,1995,,,,,,Tier 4 - Small Privately-Owned,Healthcare,Mental Health Services,,,,,,,,,N,,,http://www.anagapsychotherapy.com/,https://facts.fldfs.com/Search/PurchaseOrderDetails.aspx?AgencyId=700000&PONo=DO1997782&Tab=1,,,,
Analysts,Y,GA,,1966,2013,,,ACS Group,,"Tier 3 - Large Privately-Owned, requires outside financing",Equipment,Security Technology,,,,,,,,,N,,Acquired by ACS Group in 2013 for $35 M,http://analysts.acsicorp.com/,http://www.acsicorp.com/analysts-exhibiting-35th-annual-najis-conference,,,,https://www2.staffingindustry.com/site/Editorial/Daily-News/US-ACS-to-acquire-Analysts-International-in-35-million-deal-27027?
Analytical Tox Lab Corp,Y,TX,,,,,,,,Tier 4 - Small Privately-Owned,Healthcare,Substance Abuse Treatment,,,,,,,,,N,,,http://www.atcdrugscreens.com,http://ajaproductserviceresource.com/,,,,
Anchor Supply,Y,CA,,1985,,,,,,Tier 4 - Small Privately-Owned,Equipment,"Furnishings, Supplies, & Other Facility Equipment",,,,,,,,,N,,,https://www.anchorsupply.net/,California Spending Data - 2018,,,,
Anchortex,Y,NJ,,1989,,,,,,Tier 4 - Small Privately-Owned,Equipment,"Furnishings, Supplies, & Other Facility Equipment",,,,,,,,,N,,,https://www.anchortex.com/,https://www.anchortex.com/corrections-and-detention-supplies,,,,
Anda,Y,FL,650,1992,2016,,,Teva Pharmaceuticals,TEVA,Tier 1a - Publicly Traded - Targeted Correctional Exposure,Healthcare,Pharmacy,,,,,9,,1000,2016,N,,Acquired by Teva in 2016 for $500 M,https://www.andanet.com/login.htm,NYS DOCCS Spending,,,http://www.tevapharm.com/news/teva_announces_acquisition_of_anda_inc_08_16.aspx,
ANDE,Y,MA,,2016,,,,,,Tier 4 - Small Privately-Owned,Equipment,Security Technology,,,,,,,,,N,,,https://www.ande.com/,https://www.ande.com/law-enforcement/,,,,
Andrews Center,Y,TX,,1969,,,,,,Tier 4 - Small Privately-Owned,Healthcare,Mental Health Services,,,,,,,,,N,,,http://www.andrewscenter.com/,TDCJ Spending,,,,
Anemostat,Y,CA,,,,,,,,Tier 4 - Small Privately-Owned,Equipment,"Furnishings, Supplies, & Other Facility Equipment",,,,,,,,,N,,,http://anemostat-hvac.com/,http://anemostat-hvac.com/Security/,,,,http://correctionsmarketplace.com/Featured/List
Angel Armor,Y,CO,,2004,,,,,,Tier 4 - Small Privately-Owned,Transportation,Prison Transportation,,,,,,,,,N,,,http://armor.angelintelligence.com/,See website,,,,
Anglin Analystics,Y,TX,,1996,,,,,,Tier 4 - Small Privately-Owned,Equipment,Security Technology,,,,,,,,,N,,,http://www.htcomp.net/,http://doc.ok.gov/closed-bids,,,,
Ani Safety,N,IL,,,2015,,,Emergent Safety,,Tier 4 - Small Privately-Owned,Equipment,"Furnishings, Supplies, & Other Facility Equipment",,,,,,,,,N,,Acquired by Emergent Safety in 2015,,https://www.ncjrs.gov/pdffiles1/nij/grants/192735.pdf,,,,https://www.emergentsafety.com/store/page.cfm?pageID=7C5145444914
Animal Health International,Y,CO,,1967,2015,,,Patterson Companies,PDCO,Tier 1a - Publicly Traded - Targeted Correctional Exposure,Equipment,"Furnishings, Supplies, & Other Facility Equipment",,,,,7,,1500,2015,N,,Acquired by Patterson Companies in 2015 for $1.1 B; LTM 3/2015 financials,http://www.animalhealthinternational.com/,TDCJ Spending,,,https://www.businesswire.com/news/home/20150504005278/en/Patterson-Companies-Announces-Acquisition-Animal-Health-International,
Anixter,Y,IL,8900,1957,,Robert Eck,,,AXE,Tier 1b - Publicly Traded - Other,Equipment,Security Technology,,,,,7,,8845.6,2019,N,,,https://www.anixter.com,https://www.anixter.com/content/dam/anixter/resources/case-studies/anixter-state-prison-upgrades-perimeter-security-with-anixter-case-studies-en.pdf,,,FactSet,
Ankle Monitoring,Y,GA,,1992,,,,,,Tier 4 - Small Privately-Owned,Community Corrections,Electronic Monitoring,,,,,,,,,Y,,,http://www.anklemonitoring.com/,See website,,,,
Annams Systems (dba Sunflower Systems),Y,CA,,1997,,,,,,Tier 4 - Small Privately-Owned,Equipment,Security Equipment,,,Y,,,,,,N,,,https://www.sunflowersystems.com/,https://www.sunflowerlawenforcement.com/,GovSpend,,,
Anson Technology Company,Y,China,,2011,,,,,,Tier 4 - Small Privately-Owned,Equipment,Security Technology,,,,,,,,,N,,,http://www.ansoncorp.com/,http://ajaproductserviceresource.com/,,,,
Anthem,Y,IN,56000,2001,,Gail K. Boudreaux,,,ANTM,Tier 1a - Publicly Traded - Targeted Correctional Exposure,Healthcare,Medical Healthcare,,,,,9,,103141,2019,N,,,https://www.antheminc.com/,See HealthCore,,,FactSet,https://www.antheminc.com/Companies/AffiliatedSpecialtyCompanies/index.htm
Anytrax (formerly Robocuff),Y,GA,,2001,,,,,,Tier 4 - Small Privately-Owned,Community Corrections,Electronic Monitoring,,,,,,,,,Y,,,http://www.anytrax.com/,See website,,,,https://www.linkedin.com/company/anytransactions-inc./
Apax Partners,Y,United Kingdom,100,1969,,Andrew Sillitoe,,,,Tier 2 - Investment Firm-Owned,Investor,Equity/Debt Investor,,,,,13,Y,,,N,,,https://www.apax.com/,See Attenti (formerly 3M Electronic Monitoring) ,,,,https://www.apax.com/news/press-releases/2017/funds-advised-by-apax-partners-complete-acquisition-of-3m%E2%80%99s-electronic-monitoring-business/
Apex Aridyne Corp,Y,NY,,1943,,,,,,Tier 4 - Small Privately-Owned,Equipment,"Furnishings, Supplies, & Other Facility Equipment",,,,,,,,,N,,,http://www.apexmills.com/,http://doc.ok.gov/closed-bids,,,,
Apex Food Group,Y,AK,,2014,,,,,,Tier 4 - Small Privately-Owned,Food & Commissary,Prison Food,,,,,,,,,N,,,http://www.apexfoodgroup.net/,https://www.floorplangenie.com/Events/fpg_ACFSA/ACFSA2017/Public/fpg.aspx,,,,http://government-contractors.insidegov.com/l/895809/Apex-Food-Group-LLC
Apex Industries,Y,Canada,200,1961,,,,,,Tier 4 - Small Privately-Owned,Construction & Maintenance,Construction,Equipment,"Furnishings, Supplies, & Other Facility Equipment",,,,,,,N,,,http://www.apexindustries.com/,http://www.apexindustries.com/steel-doors/our-products/detention-doors-windows/,,,,
Apex Therapeutic Services,Y,NY,,,,,,,,Tier 4 - Small Privately-Owned,Personnel,Third Party Staffing,,,,,,,,,N,,,,NYS DOCCS Spending,,,,
APi Group,Y,MN,15000,1926,2019,,,J2 Acquisition,,"Tier 3 - Large Privately-Owned, requires outside financing",Construction & Maintenance,Maintenance Services,,,,,,,3730.25,2018,N,,Acquired by J2 Acquisition in 2019,http://www.apigroupinc.com,See APi Systems,,,PrivCo (www.privco.com),https://www.apigroupinc.com/services/security-surveillance
APi Systems,Y,TX,,1968,2001,,,J2 Acquisition/APi Group,,"Tier 3 - Large Privately-Owned, requires outside financing",Construction & Maintenance,Maintenance Services,,,,,,,,,N,,Acquired by APi Group in 2001,https://www.apigroupinc.com/our-companies/37/api-systems-group,See website,,,,
Apogee Medical Group NY,Y,AZ,,2002,,,,,,Tier 4 - Small Privately-Owned,Healthcare,Medical Healthcare,,,,,,,,,N,,,https://apogeephysicians.com/,NYS DOCCS Spending,,,,
Apollo Global Management,Y,NY,1400,1990,,Leon Black,,,,Tier 2 - Investment Firm-Owned,Investor,Equity/Debt Investor,,,,,8,,,,N,,,https://www.apollo.com/,See Smart & Final,,,,
Apopka Beauty & Barber Supply,Y,FL,,1985,,,,,,Tier 4 - Small Privately-Owned,Equipment,"Furnishings, Supplies, & Other Facility Equipment",,,,,,,,,N,,,http://www.barbermall.com/,http://correctionsmarketplace.com/,,,,
