Name,Year,Group,Status,Birth Date,Birth Place,Gender,Alma Mater,Undergraduate Major,Graduate Major,Military Branch,Space Flight (hr),Space Walks (hr),Missions,Death Date,Death Mission
Edward G. Gibson,1965.0,4.0,Retired,11/8/1936,"Buffalo, NY",Male,University of Rochester; California Institute of Technology,Engineering,Engineering,,2017,15,Skylab 4,,
Robert L. Gibson,1978.0,8.0,Retired,10/30/1946,"Cooperstown, NY",Male,California Polytechnic Institute,Aeronautical Engineering,,US Navy,868,0,"STS 41-B (Challenger), STS 61-C (Columbia), STS-27 (Atlantis), STS-47 (Endeavor), STS-71 (Atlantis)",,
Edward G. Givens Jr. ,1966.0,5.0,Deceased,1/5/1930,"Quanah, TX",Male,US Naval Academy,Naval Sciences,,US Air Force,0,0,,6/6/1967,
John H. Glenn Jr. ,1959.0,1.0,Retired,7/18/1921,"Cambridge, OH",Male,Muskingum College,Engineering,,US Marine Corps,218,0,"Mercury 6, STS-95 (Discovery)",,
Linda M. Godwin,1985.0,11.0,Retired,7/2/1952,"Cape Girardeau, MO",Female,Southeast Missouri State; University of Missouri,Mathematics & Physics,Physics,,918,10,"STS-37 (Atlantis), STS-59 (Endeavor), STS-76 (Atlantis), STS-108 (Endeavor)",,
Michael T. Good,2000.0,18.0,Management,10/13/1962,"Parma, OH",Male,University of Notre Dame,Aerospace Engineering,Aerospace Engineering,US Air Force,592,30,"STS-125 (Atlantis), STS-132 (Atlantis)",,
Richard F. Gordon Jr. ,1963.0,3.0,Retired,10/5/1929,"Seattle, WA",Male,University of Washington,Chemistry,,US Navy,315,0,"Gemini 11, Apollo 12",,
Dominic L. Gorie,1995.0,15.0,Retired,5/2/1957,"Lake Charles, LA",Male,US Naval Academy; University of Tennessee,Ocean Engineering,Aviation Systems,US Navy,1167,0,"STS-91 (Discovery), STS-99 (Endeavor), STS-123 (Endeavor), STS-108 (Endeavor)",,
Ronald J. Grabe,1980.0,9.0,Retired,6/13/1945,"New York, NY",Male,US Air Force Academy,Engineering Science,,US Air Force,627,0,"STS 51-J (Atlantis), STS-30 (Atlantis), STS-42 (Discovery), STS-57 (Endeavor)",,
Duane E. Graveline,1965.0,4.0,Retired,3/2/1931,"Newport, VT",Male,University of Vermont; Johns Hopkins University,,Public Health; Medicine,,0,0,,,
Frederick D. Gregory,1978.0,8.0,Retired,1/7/1941,"Washington, DC",Male,US Air Force Academy; George Washington University,,Information Systems,US Air Force,455,0,"STS 51-B (Challenger), STS-33 (Discovery), STS-44 (Atlantis)",,
William G. Gregory,1990.0,13.0,Retired,5/14/1957,"Lockport, NY",Male,US Air Force Academy; Columbia University; Troy State University,Engineering Science,Engineering Mechanics; Business Management,US Air Force,399,0,STS-67 (Endeavor),,
S. David Griggs,1978.0,8.0,Deceased,9/7/1939,"Portland, OR",Male,US Naval Academy; George Washington University,,Business Administration,,167,3,STS 51-D (Discovery),6/17/1989,
Virgil I. Grissom,1959.0,1.0,Deceased,4/3/1926,"Mitchell, IN",Male,Purdue University,Mechanical Engineering,,US Air Force,5,0,"Mercury 4, Gemini 3, Apollo 1",1/27/1967,Apollo 1
John M. Grunsfeld,1992.0,14.0,Management,10/10/1958,"Chicago, IL",Male,MIT; University of Chicago,Physics,Physics,,1407,58,"STS-67 (Endeavor), STS-81 (Atlantis), STS-103 (Discovery), STS-125 (Atlantis), STS-109 (Columbia)",,
Sidney M. Gutierrez,1984.0,10.0,Retired,6/27/1951,"Albuquerque, NM",Male,US Air Force Academy; Webster College,Aeronautical Engineering,Business Management,US Air Force,488,0,"STS-40 (Columbia), STS-59 (Endeavor)",,
Fred W. Haise Jr. ,1966.0,5.0,Retired,11/14/1933,"Biloxi, MS",Male,University of Oklahoma,Aeronautical Engineering,,,142,0,Apollo 13 ,,
James D. Halsell Jr. ,1990.0,13.0,Retired,9/29/1956,"Monroe, LA",Male,US Air Force Academy; Troy State University; US Air Force Institute of Technology,Engineering,Business Management; Space Operations,US Air Force,1258,0,"STS-65 (Columbia), STS-74 (Atlantis), STS-83 (Columbia), STS-94 (Columbia), STS-101 (Atlantis)",,
Kenneth T. Ham,1998.0,17.0,Retired,12/12/1964,"Plainfield, NJ",Male,US Naval Academy; US Naval Postgraduate School,Aerospace Engineering,Aeronautical Engineering,US Navy,612,0,"STS-124 (Discovery), STS-132 (Atlantis)",,
L. Blaine Hammond Jr. ,1984.0,10.0,Retired,1/16/1952,"Savannah, GA",Male,US Air Force Academy; Georgia Institute of Technology,Engineering Science,Engineering Science,US Air Force,462,0,"STS-39 (Discovery), STS-64 (Discovery)",,
Gregory J. Harbaugh,1987.0,12.0,Retired,4/15/1956,"Cleveland, OH",Male,Purdue University; University of Houston-Clear Lake,Aeronautical & Astronautical Engineering,Physical Science,,817,18,"STS-39 (Discovery), STS-54 (Endeavor), STS-71 (Atlantis), STS-82 (Discovery)",,
Bernard A. Harris Jr. ,1990.0,13.0,Retired,6/26/1956,"Temple, TX",Male,University of Houston; Texas Tech University,Biology,Medicine,,438,5,"STS-55 (Columbia), STS-63 (Discovery)",,
Terry J. Hart,1978.0,8.0,Retired,10/27/1946,"Pittsburgh, PA",Male,Lehigh University; MIT; Rutgers University,Mechanical Engineering,Mechanical Engineering; Electrical Engineering,,167,0,STS 41-C (Challenger),,
Henry W. Hartsfield Jr. ,1969.0,7.0,Retired,11/21/1933,"Birmingham, AL",Male,Auburn University; University of Tennessee,Physics,Engineering Science,US Air Force,482,0,"STS-4 (Columbia), STS 41-D (Discovery), STS 61-A (Challenger)",,
Frederick H. Hauck,1978.0,8.0,Retired,4/11/1941,"Long Beach, CA",Male,Tufts University; MIT,Physics,Nuclear Engineering,US Navy,435,0,"STS-7 (Challenger), STS 51-A (Discovery), STS-26 (Discovery)",,
Steven A. Hawley,1978.0,8.0,Retired,12/12/1951,"Ottawa, KS",Male,University of Kansas; University of California,Physics & Astronomy,Astronomy & Astrophysics,,770,0,"STS 41-D (Discovery), STS 61-C (Columbia), STS-31 (Discovery), STS-82 (Discovery), STS-93 (Columbia)",,
Susan J. Helms,1990.0,13.0,Retired,2/26/1958,"Charlotte, NC",Female,US Air Force Academy; Stanford University,Aeronautical Engineering,Aeronautics & Astronautics,US Air Force,5063,9,"STS-54 (Endeavor), STS-64 (Discovery), STS-78 (Columbia), STS-101 (Atlantis), STS-102/105 (Discovery)",,
Karl G. Henize,1967.0,6.0,Deceased,10/17/1926,"Cincinnati, OH",Male,University of Virginia; University of Michigan,Mathematics,Astronomy,,190,0,STS 51-F (Challenger),10/5/1993,
Terence T. Henricks,1985.0,11.0,Retired,7/5/1952,"Bryan, OH",Male,US Air Force Academy; Golden Gate University,Civil Engineering,Public Administration,US Air Force,1026,0,"STS-44 (Atlantis), STS-55 (Columbia), STS-70 (Discovery), STS-78 (Columbia)",,
Jose M. Hernandez,2004.0,19.0,Retired,8/7/1962,"French Camp, CA",Male,University of the Pacific; University of California-Santa Barbara,Electrical Engineering,Electrical & Computer Engineering,,332,0,STS-128 (Discovery),,
John B. Herrington,1996.0,16.0,Retired,9/14/1958,"Wetumka, OK",Male,University of Colorado; US Naval Postgraduate School,Applied Mathematics,Aeronautical Engineering,US Navy,330,20,STS-113 (Endeavor),,
Richard J. Hieb,1985.0,11.0,Retired,9/21/1955,"Jamestown, ND",Male,Northwest Nazarene College; University of Colorado,Mathematics & Physics,Aerospace Engineering,,766,18,"STS-39 (Discovery), STS-49 (Endeavor), STS-65 (Columbia)",,
Joan E. Higginbotham,1996.0,16.0,Retired,8/3/1964,"Chicago, IL",Female,Southern Illinois University-Carbondale; Florida Institute of Technology,Electrical Engineering,Business Management; Space Systems,,308,0,STS-116 (Discovery),,
David C. Hilmers,1980.0,9.0,Retired,1/28/1950,"Clinton, IA",Male,Cornell University; US Naval Postgraduate School,Mathematics,Electrical Engineering,US Marine Corps,494,0,"ST 51-J (Atlantis), STS-26 (Discovery), STS-36 (Atlantis), STS-42 (Discovery)",,
Kathryn P. Hire,1995.0,15.0,Management,8/26/1959,"Mobile, AL",Female,US Naval Academy; Florida State Institute of Technology,Engineering Management,Space Technology,US Navy,711,0,"STS-90 (Columbia), STS-130 (Endeavor)",,
Charles O. Hobaugh,1996.0,16.0,Retired,11/5/1961,"Bar Harbor, ME",Male,US Naval Academy,Aerospace Engineering,,US Marine Corps,873,0,"STS-104 (Atlantis), STS-118 (Endeavor), ST-129 (Atlantis)",,
Jeffrey A. Hoffman,1978.0,8.0,Retired,11/2/1944,"Brooklyn, NY",Male,Amherst College; Rice University; Harvard University,Astronomy,Materials Science; Astrophysics,,1211,25,"STS 51-D (Discovery), STS-35 (Columbia), STS-46 (Atlantis), STS-61 (Endeavor), STS-75 (Columbia)",,
Donald L. Holmquest,1967.0,6.0,Retired,4/7/1939,"Dallas, TX",Male,Southern Methodist University; Baylor University; University of Houston,Electrical Engineering,Physiology; Medicine; Law,,0,0,,,
Michael S. Hopkins,2009.0,20.0,Active,12/28/1968,"Lebanon, MO",Male,University of Illinois; Stanford University,Aerospace Engineering,Aerospace Engineering,US Air Force,3990,13,ISS-37/38 (Soyuz),,
Scott J. Horowitz,1992.0,14.0,Retired,3/24/1957,"Philadelphia, PA",Male,California State University-Northridge; Georgia Institute of Technology,Engineering,Aerospace Engineering,US Air Force,1137,0,"STS-75 (Columbia), STS-82 (Discovery), STS-101 (Atlantis), STS-105 (Discovery)",,
Douglas G. Hurley,2000.0,18.0,Active,10/21/1966,"Endicott, NY",Male,Tulane University,Civil Engineering,,US Marine Corps,683,0,"STS-127 (Endeavor), STS-135 (Atlantis)",,
Rick D. Husband,1995.0,15.0,Deceased,7/12/1957,"Amarillo, TX",Male,Texas Tech University; California State University,Mechanical Engineering,Mechanical Engineering,US Air Force,617,0,"STS-96 (Discovery), STS-107 (Columbia)",2/1/2003,STS-107 (Columbia)
James B. Irwin,1966.0,5.0,Deceased,3/17/1930,"Pittsburgh, PA",Male,US Naval Academy; University of Michigan,Naval Sciences,Aeronautical Engineering,US Air Force,295,20,Apollo 15,8/8/1991,
Marsha S. Ivins,1984.0,10.0,Retired,4/15/1951,"Baltimore, MD",Female,University of Colorado,Aerospace Engineering,,,1341,0,"STS-32 (Columbia), STS-46 (Atlantis), STS-62 (Columbia), STS-81 (Atlantis), STS-98 (Atlantis)",,
Mae C. Jemison,1987.0,12.0,Retired,10/17/1956,"Decatur, AL",Female,Stanford University; Cornell University,Chemical Engineering,Medicine,,190,0,STS-47 (Endeavor),,
Tamara E. Jernigan,1985.0,11.0,Retired,5/7/1959,"Chattanooga, TN",Female,Stanford University; University of California-Berkeley; Rice University,Physics,Engineering Science; Astronomy,,1489,8,"STS-40 (Columbia), STS-52 (Columbia), STS-67 (Endeavor), STS-80 (Columbia), STS-98 (Discovery)",,
Brent W. Jett,1992.0,14.0,Retired,10/5/1958,"Pontiac, MI",Male,US Naval Academy; US Naval Postgraduate School,Aerospace Engineering,Aeronautical Engineering,US Navy,1002,0,"STS-72 (Endeavor), STS-81 (Atlantis), STS-97 (Endeavor), STS-115 (Atlantis)",,
Gregory C. Johnson,1998.0,17.0,Management,7/30/1954,"Seattle, WA",Male,University of Washington,Aerospace Engineering,,US Navy,309,0,STS-125 (Atlantis),,
Gregory H. Johnson,1998.0,17.0,Active,5/12/1962,"London, England",Male,US Air Force Academy; Columbia University; University of Texas,Aeronautical Engineering,Flight Structures Engineering; Business Administration,US Air Force,755,0,"STS-123 (Endeavor), STS-134 (Endeavor)",,
Thomas D. Jones,1990.0,13.0,Retired,1/22/1955,"Baltimore, MD",Male,US Air Force Academy; University of Arizona,,Planetary Science,,1272,20,"STS-59 (Endeavor), STS-68 (Endeavor), STS-80 (Columbia), STS-98 (Atlantis)",,
Janet L. Kavandi,1995.0,15.0,Management,7/17/1959,"Springfield, MO",Female,Missouri Southern State College; University of Missouri; University of Washington,Chemistry,Chemistry,,812,0,"STS-91 (Discovery), STS-99 (Endeavor), STS-104 (Atlantis)",,
James M. Kelly,1996.0,16.0,Management,5/14/1964,"Burlington, IA",Male,US Air Force Academy; University of Alabama,Astronautical Engineering,Aerospace Engineering,US Air Force,641,0,"STS-102 (Discovery), STS-114 (Discovery)",,
Mark E. Kelly,1996.0,16.0,Retired,2/21/1964,"Orange, NJ",Male,US Merchant Marine Academy; US Naval Postgraduate School,Marine Engineering & Nautical Science,Aeronautical Engineering,US Navy,1298,0,"STS-108 (Endeavor), STS-121 (Discovery), STS-124 (Discovery), STS-134 (Endeavor)",,
Scott J. Kelly,1996.0,16.0,Active,2/21/1964,"Orange, NJ",Male,State University of New York Maritime College; University of Tennessee-Knoxville,Electrical Engineering,Aviation Systems,US Navy,12490,18,"STS-103 (Discovery), STS-118 (Endeavor), ISS-25/26 (Soyuz), ISS-43/44/45/46 (Soyuz)",,
Joseph P. Kerwin,1965.0,4.0,Retired,2/19/1932,"Oak Park, IL",Male,College of the Holy Cross; Northwestern University,Philosophy,Medicine,US Navy,672,3,Skylab 2,,
Susan L. Kilrain (Still),1995.0,15.0,Retired,10/24/1961,"Augusta, GA",Female,Embry-Riddle University; Georgia Institute of Technology,Astronautical Engineering,Aerospace Engineering,US Navy,472,0,"STS-83 (Columbia), STS-94 (Columbia)",,
Robert Shane Kimbrough,2004.0,19.0,Active,6/4/1967,"Killeen, TX",Male,US Military Academy; Georgia Institute of Technology,Aerospace Engineering,Operations Research,US Army,3720,25,"STS-126 (Endeavor), ISS-49/50 (Soyuz)",,
Timothy L. Kopra,2000.0,18.0,Active,4/9/1963,"Austin, TX",Male,US Military Academy; Georgia Institute of Technology; US Army War College,Computer Science,Aerospace Engineering; Strategic Studies,US Army,5857,13,"STS-127/128 (Endeavor/Discovery), ISS-46/47 (Soyuz)",,
Kevin R. Kregel,1992.0,14.0,Retired,9/16/1956,"New York, NY",Male,US Air Force Academy; Troy State University,Astronautical Engineering,Public Administration,,1265,0,"STS-70 (Discovery), STS-78 (Columbia), STS-87 (Columbia), STS-99 (Endeavor)",,
Wendy B. Lawrence,1992.0,14.0,Retired,7/2/1959,"Jacksonville, FL",Female,US Naval Academy; MIT,Ocean Engineering,Ocean Engineering,US Navy,1223,0,"STS-67 (Endeavor), STS-86 (Atlantis), STS-91 (Discovery), STS-114 (Discovery)",,
Mark C. Lee,1984.0,10.0,Retired,8/14/1952,"Viroqua, WI",Male,US Air Force Academy; MIT,Civil Engineering,Mechanical Engineering,US Air Force,789,26,"STS-30 (Atlantis), STS-47 (Endeavor), STS-64 (Discovery), STS-82 (Discovery)",,
David C. Leestma,1980.0,9.0,Management,5/6/1949,"Muskegon, MI",Male,US Naval Academy; US Naval Postgraduate School,Aeronautical Engineering,Aeronautical Engineering,US Navy,532,3,"STS 41-G (Challenger), STS-28 (Columbia), STS-45 (Atlantis)",,
William B. Lenoir,1967.0,6.0,Deceased,3/14/1939,"Miami, FL",Male,MIT,Electrical Engineering,Electrical Engineering,,122,0,STS-5 (Columbia),8/26/2012,
Don L. Lind,1966.0,5.0,Retired,5/18/1930,"Midvale, UT",Male,University of Utah; University of California-Berkley,Physics,Nuclear Physics,,168,0,STS 51-B (Challenger),,
Kjell N. Lindgren,2009.0,20.0,Active,1/23/1973,"Taipei, Taiwan",Male,US Air Force Academy; University of Colorado; Colorado State University; University of Minnesota; University of Texas Medical Branch-Galveston,Biology,Medicine; Cardiovascular Physiology; Health Informatics; Public Health,,3400,15,ISS-44/45 (Soyuz),,
Steven W. Lindsey,1995.0,15.0,Retired,8/24/1960,"Arcadia, CA",Male,US Air Force Academy; US Air Force Institute of Technology,Engineering Science,Aeronautical Engineering,US Air Force,1510,0,"STS-87 (Columbia), STS-95 (Discovery), STS-104 (Atlantis), STS-121 (Discovery), STS-133 (Discovery)",,
Jerry M. Linenger,1992.0,14.0,Retired,1/16/1955,"Mount Clemens, MI",Male,US Naval Academy; University of Southern California; University of North Carolina; Wayne State University,Bioscience,Systems Management; Public Health; Medicine; Epidemiology,US Navy,3435,5,"STS-64 (Discovery), STS-81/84 (Atlantis)",,
Richard M. Linnehan,1992.0,14.0,Management,9/19/1957,"Lowell, MA",Male,University of New Hampshire; Ohio State University; Harvard University,Animal Science,Veterinary Medicine; Public Administration,,1427,43,"STS-78 (Columbia), STS-90 (Columbia), STS-109 (Columbia), STS-123 (Endeavor)",,
John A. Llewellyn,1967.0,6.0,Retired,4/22/1933,"Cardiff, Wales",Male,University College at Cardiff,Chemistry,Chemistry,,0,0,,,
Paul S. Lockhart,1996.0,16.0,Retired,4/28/1956,"Amarillo, TX",Male,Texas Tech University; University of Texas,Mathematics,Aerospace Engineering,US Air Force,663,0,"STS-111 (Endeavor), STS-113 (Endeavor)",,
Michael E. Lopez-Alegria,1992.0,14.0,Retired,5/30/1958,"Madrid, Spain",Male,US Naval Academy; US Naval Postgraduate School,Systems Engineering,Aeronautical Engineering,US Navy,6190,67,"STS-73 (Columbia), STS-92 (Discovery), STS-113 (Endeavor), ISS-14 (Soyuz)",,
Christopher J. Loria,1996.0,16.0,Retired,7/9/1960,"Belmont, MA",Male,US Naval Academy; Harvard University,Engineering,Public Administration,US Marine Corps,0,0,,,
J. Mike Lounge,1980.0,9.0,Deceased,6/28/1946,"Denver, CO",Male,US Naval Academy; University of Colorado,Mathematics & Physics,Astrogeophysics,,483,0,"STS 51-I (Discovery), STS-26 (Discovery), STS-35 (Columbia)",3/1/2011,
Jack R. Lousma,1966.0,5.0,Retired,2/29/1936,"Grand Rapids, MI",Male,University of Michigan; US Naval Postgraduate School,Aeronautical Engineering,Aeronautical Engineering,US Marine Corps,1619,11,"Skylab 3, STS-3 (Columbia)",,
Stanley G. Love,1998.0,17.0,Management,6/8/1965,"San Diego, CA",Male,Harvey Mudd College; University of Washington,Physics,Astronomy,,306,15,STS-122 (Atlantis),,
James A. Lovell Jr. ,1962.0,2.0,Retired,3/25/1928,"Cleveland, OH",Male,US Naval Academy,,,US Navy,715,0,"Gemini 7, Gemini 12, Apollo 8, Apollo 13",,
G. David Low,1984.0,10.0,Deceased,2/19/1956,"Cleveland, OH",Male,Washington & Lee University; Cornell University; Stanford University,Physics & Engineering,Mechanical Engineering; Aeronautics & Astronautics,,714,6,"STS-32 (Columbia), STS-43 (Atlantis), STS-57 (Endeavor)",3/15/2008,
Edward T. Lu,1995.0,15.0,Retired,7/1/1963,"Springfield, MA",Male,Cornell University; Stanford University,Electrical Engineering,Applied Physics,,4962,6,"STS-84 (Atlantis), STS-106 (Atlantis), ISS-07 (Soyuz)",,
Shannon W. Lucid,1978.0,8.0,Retired,1/14/1943,"Shanghai, China",Female,University of Oklahoma,Chemistry,Biochemistry,,5354,0,"STS 51-G (Discovery), STS-34 (Atlantis), STS-43 (Atlantis), STS-58 (Columbia), STS-76/79 (Atlantis)",,
Sandra H. Magnus,1996.0,16.0,Retired,10/30/1964,"Belleville, IL",Female,University of Missouri-Rolla; Georgia Institute of Technology,Physics,Electrical Engineering; Materials Science & Engineering,,3776,0,"STS-112 (Atlantis), STS-126/119 (Endeavor/Discovery), STS-135 (Atlantis)",,
Thomas H. Marshburn,2004.0,19.0,Active,8/29/1960,"Statesville, NC",Male,Davidson College; University of Virginia; Wake Forest University; University of Texas Medical Branch-Galveston,Physics,Engineering Physics; Medicine; Medical Science,,3871,24,"STS-127 (Endeavor), ISS-34/35 (Soyuz)",,
Michael J. Massimino,1996.0,16.0,Management,8/19/1962,"Oceanside, NY",Male,Columbia University; MIT,Industrial Engineering,Technology & Policy; Mechanical Engineering,,571,30,"STS-109 (Columbia), STS-125 (Atlantis)",,
Richard A. Mastracchio,1996.0,16.0,Active,2/11/1960,"Waterbury, CT",Male,University of Connecticut; Rensselaer Polytechnic Institute; University of Houston-Clear Lake,Electrical Engineering; Computer Science,Electrical Engineering; Physical Sciences,,5461,53,"STS-106 (Atlantis), STS-118 (Endeavor), STS-131 (Discovery), ISS-38/39 (Soyuz)",,
Thomas K. Mattingly II ,1966.0,5.0,Retired,3/17/1936,"Chicago, IL",Male,Auburn University,Aeronautical Engineering,,US Navy,508,1,"Apollo 16, STS-4 (Columbia), STS 51-C (Discovery)",,
K. Megan McArthur,2000.0,18.0,Active,8/30/1971,"Honolulu, HI",Female,University of California-Los Angeles; University of California-San Diego,Aerospace Engineering,Oceanography,,309,0,STS-125 (Atlantis),,
William S. McArthur Jr. ,1990.0,3.0,Management,7/26/1951,"Laurinburg, NC",Male,US Military Academy; Georgia Institute of Technology,Applied Science & Engineering,Aerospace Engineering,US Army,5398,24,"STS-58 (Columbia), STS-74 (Atlantis), STS-92 (Discovery), ISS-12 (Soyuz)",,
Jon A. McBride,1978.0,8.0,Retired,8/14/1943,"Charleston, WV",Male,US Naval Postgraduate School,Aeronautical Engineering,,US Navy,197,0,STS 41-G (Challenger),,
Bruce McCandless II ,1966.0,5.0,Retired,6/8/1937,"Boston, MA",Male,US Naval Academy; Stanford University; University of Houston-Clear Lake,,Electrical Engineering; Business Administration,US Navy,312,12,"STS 41-B (Challenger), STS-31 (Discovery)",,
William C. McCool,1996.0,16.0,Deceased,9/23/1961,"San Diego, CA",Male,US Naval Academy; University of Maryland; US Naval Postgraduate School,Naval Sciences,Computer Science; Aeronautical Engineering,US Navy,382,0,STS-107 (Columbia),2/1/2003,STS-107 (Columbia)
Michael J. McCulley,1984.0,10.0,Retired,8/4/1943,"San Diego, CA",Male,Purdue University,Metallurgical Engineering,Metallurgical Engineering,US Navy,119,0,STS-34 (Atlantis),,
James A. McDivitt,1984.0,2.0,Retired,6/10/1929,"Chicago, IL",Male,University of Michigan,Astronautical Engineering,,US Air Force,338,0,"Gemini 4, Apollo 9",,
Donald R. McMonagle,1987.0,12.0,Retired,5/14/1952,"Flint, MI",Male,US Air Force Academy; California State University-Fresno,Astronautical Engineering,Mechanical  Engineering,US Air Force,605,0,"STS-39 (Discovery), STS-54 (Endeavor), STS-66 (Atlantis)",,
Ronald E. McNair,1978.0,8.0,Deceased,10/21/1950,"Lake City, SC",Male,North Carolina A&T State College; MIT,Physics,Physics,,191,0,"STS 41-B (Challenger), STS 51-L (Challenger)",1/28/1986,STS 51-L (Challenger)
Carl J. Meade,1985.0,11.0,Retired,11/16/1950,"Chanute Air Force Base, IL",Male,University of Texas; California Institute of Technology,Electronics Engineering,Electronics Engineering,US Air Force,712,6,"STS-38 (Atlantis), STS-50 (Columbia), STS-64 (Discovery)",,
Bruce E. Melnick,1987.0,12.0,Retired,12/5/1949,"New York, NY",Male,US Coast Guard Academy; West Florida University,Engineering,Aeronautical Systems,US Coast Guard,311,0,"STS-41 (Discovery), STS-49 (Endeavor)",,
Pamela A. Melroy,1995.0,15.0,Retired,9/17/1961,"Palo Alto, CA",Female,Wellesley College; MIT,Physics & Astronomy,Earth & Planetary Sciences,US Air Force,914,0,"STS-92 (Discovery), STS-112 (Atlantis), STS-120 (Discovery)",,
Leland D. Melvin,1998.0,17.0,Management,2/15/1964,"Lynchburg, VA",Male,University of Richmond; University of Virginia,Chemistry,Materials Science Engineering,,565,0,"STS-122 (Atlantis), STS-129 (Atlantis)",,
Dorothy M. Metcalf-Lindenberger,2004.0,19.0,Active,5/2/1975,"Colorado Springs, CO",Female,Whitman College,Geology,,,362,0,STS-131 (Discovery),,
F. Curtis Michel,1965.0,4.0,Retired,6/5/1934,"LaCrosse, WI",Male,California Institute of Technology,Physics,Physics,,0,0,,,
Edgar D. Mitchell,1966.0,5.0,Retired,9/17/1930,"Hereford, TX",Male,Carnegie-Mellon University; US Naval Postgraduate School; MIT,Industrial Management,Aeronautical Engineering; Aeronautics & Astronautics,US Navy,216,9,Apollo 14,,
Barbara R. Morgan,1998.0,17.0,Retired,11/28/1951,"Fresno, CA",Female,Stanford University,Human Biology,,,305,0,STS-118 (Endeavor),,
Lee M. Morin,1996.0,16.0,Management,9/9/1952,"Manchester, NH",Male,University of New Hampshire; University of Alabama-Birmingham; New York University,Mathematical & Electrical Science,Public Health; Biochemistry; Medicine; Microbiology,US Navy,259,14,STS-110 (Atlantis),,
Richard M. Mullane,1978.0,8.0,Retired,9/10/1945,"Wichita Falls, TX",Male,US Military Academy; US Air Force Institute of Technology,Military Engineering,Aeronautical Engineering,US Air Force,356,0,"STS 41-D (Discovery), STS-27 (Atlantis), STS-36 (Atlantis)",,
Story Musgrave,1967.0,6.0,Retired,8/19/1935,"Boston, MA",Male,Syracuse University; Marietta College; University of California-Los Angeles; University of Kentucky; University of Houston; Columbia University,Mathematics & Statistics; Chemistry,Business Administration; Physiology; Literature; Medicine,,1281,26,"STS-6 (Challenger), STS 51-F (Challenger), STS-33 (Discovery), STS-44 (Atlantis), STS-61 (Endeavor), STS-80 (Columbia)",,
Steven R. Nagel,1978.0,8.0,Retired,10/27/1946,"Canton, IL",Male,University of Illinois; California State University-Fresno,Aerospace Engineering,Mechanical  Engineering,US Air Force,721,0,"STS 51-G (Discovery), STS 61-A (Challenger), STS-37 (Atlantis), STS-55 (Columbia)",,
George D. Nelson,1978.0,8.0,Retired,7/13/1950,"Charles City, IA",Male,Harvey Mudd College; University of Washington,Physics,Astronomy,,411,10,"STS 41-C (Challenger), STS 61-C (Columbia), STS-26 (Discovery)",,
James H. Newman,1990.0,13.0,Retired,10/16/1956,"San Diego, CA",Male,Dartmouth College; Rice University,Physics,Physics,,1042,43,"STS-51 (Discovery), STS-69 (Endeavor), STS-88 (Endeavor), STS- 109 (Columbia)",,
Carlos I. Noriega,1995.0,15.0,Retired,10/8/1959,"Lima, Peru",Male,University of Southern California; US Naval Postgraduate School,Computer Science,Computer Science; Space Systems Operations,US Marine Corps,481,19,"STS-84 (Atlantis), STS-97 (Endeavor)",,
Lisa M. Nowak,1996.0,16.0,Retired,5/10/1963,"Washington, DC",Female,US Naval Academy; US Naval Postgraduate School,Aerospace Engineering,Aeronautical Engineering,US Navy,306,0,STS-121 (Discovery),,
Karen L. Nyberg,2000.0,18.0,Active,10/7/1969,"Parker’s Prairie, MN",Female,University of North Dakota; University of Texas,Mechanical Engineering,Mechanical Engineering,,4320,0,"STS-124 (Discovery), ISS-36/37 (Soyuz)",,
Bryan D. O'Connor,1980.0,9.0,Retired,9/6/1946,"Orange, CA",Male,US Naval Academy; West Florida University,Engineering,Aeronautical Systems,US Marine Corps,383,0,"STS 61-B (Atlantis), STS-40 (Columbia)",,
Brian T. O'Leary,1967.0,6.0,Deceased,1/27/1940,"Boston, MA",Male,Williams College; Georgetown University; University of California-Berkeley,Physics,Astronomy,,0,0,,7/28/2011,
Ellen Ochoa,1990.0,13.0,Management,5/10/1958,"Los Angeles, CA",Female,San Diego State University; Stanford University,Physics,Electrical Engineering,,979,0,"STS-56 (Discovery), STS-66 (Atlantis), STS-96 (Discovery), STS-110 (Atlantis)",,
William A. Oefelein,1998.0,17.0,Retired,3/29/1965,"Ft. Belvoir, VA",Male,Oregon State University; University of Tennessee,Electrical Engineering,Aviation Systems,US Navy,308,0,STS-116 (Discovery),,
John D. Olivas,1998.0,17.0,Retired,5/25/1966,"North Hollywood, CA",Male,University of Texas-El Paso; University of Houston; Rice University,Mechanical Engineering,Mechanical  Engineering; Mechanical  Engineering & Materials Science,,665,34,"STS-117 (Atlantis), STS-128 (Discovery)",,
Ellison S. Onizuka,1978.0,8.0,Deceased,6/24/1946,"Kealakekua, HI",Male,University of Colorado,Aerospace Engineering,Aerospace Engineering,US Air Force,73,0,"STS 51-C (Discovery), STS 51-L (Challenger)",1/28/1986,STS 51-L (Challenger)
Stephen S. Oswald,1985.0,11.0,Retired,6/30/1951,"Seattle, WA",Male,US Naval Academy,Aerospace Engineering,,,814,0,"STS-42 (Discovery), STS-56 (Discovery), STS-67 (Endeavor)",,
